i_simul,gen,strategy,n_ind,fitness_relative
1,0,matching,36.0,19.378716820081866
1,0,switching,38.0,35.880196177642404
1,0,storage,26.0,44.8526372790293
1,1,matching,23.0,20.794867591854636
1,1,switching,39.0,35.772242888441575
1,1,storage,38.0,44.62028638901986
1,2,matching,11.0,19.21220703659081
1,2,switching,47.0,33.78563622029097
1,2,storage,42.0,44.50123178828639
1,3,matching,8.0,17.51089647025534
1,3,switching,42.0,30.505416308591457
1,3,storage,50.0,46.84222069726762
1,4,matching,6.0,12.514472376505006
1,4,switching,28.0,23.41272831421725
1,4,storage,66.0,45.80292291086097
1,5,matching,1.0,8.931594392610467
1,5,switching,14.0,10.525597118233131
1,5,storage,85.0,46.89935271573144
1,6,matching,0.0,0.0
1,6,switching,5.0,6.985197011584641
1,6,storage,95.0,44.941273026576155
1,7,matching,1.0,7.598778817444046
1,7,switching,3.0,10.34446596888929
1,7,storage,96.0,46.13477550605332
1,8,matching,0.0,0.0
1,8,switching,1.0,8.841544864581117
1,8,storage,99.0,44.90004127187586
1,9,matching,0.0,0.0
1,9,switching,1.0,4.63108437106091
1,9,storage,99.0,45.181749007357965
1,10,matching,0.0,0.0
1,10,switching,3.0,4.438589363641747
1,10,storage,97.0,45.409547720333556
1,11,matching,0.0,0.0
1,11,switching,1.0,5.868037647260319
1,11,storage,99.0,46.37117093916198
1,12,matching,1.0,7.261118296545604
1,12,switching,0.0,0.0
1,12,storage,99.0,45.456776165694095
1,13,matching,0.0,0.0
1,13,switching,0.0,0.0
1,13,storage,100.0,43.793116602306924
1,14,matching,1.0,7.449783876806196
1,14,switching,0.0,0.0
1,14,storage,99.0,45.18075848040598
1,15,matching,2.0,7.547605258974877
1,15,switching,1.0,8.945337996985643
1,15,storage,97.0,46.406846697772224
1,16,matching,1.0,7.820564710954401
1,16,switching,0.0,0.0
1,16,storage,99.0,45.30748514715391
1,17,matching,0.0,0.0
1,17,switching,1.0,12.203444587954564
1,17,storage,99.0,45.96790896003589
1,18,matching,0.0,0.0
1,18,switching,0.0,0.0
1,18,storage,100.0,45.26065645634603
1,19,matching,1.0,6.898191853872814
1,19,switching,0.0,0.0
1,19,storage,99.0,45.183321474423
1,20,matching,2.0,7.468611544202737
1,20,switching,0.0,0.0
1,20,storage,98.0,47.20410216590541
1,21,matching,0.0,0.0
1,21,switching,1.0,5.18002463881303
1,21,storage,99.0,44.40089952608251
1,22,matching,0.0,0.0
1,22,switching,0.0,0.0
1,22,storage,100.0,48.035103706935296
1,23,matching,3.0,7.610797992675034
1,23,switching,0.0,0.0
1,23,storage,97.0,47.16094420751498
